Timestamp,Student_ID,Age,Gender,Department,GPA,Satisfaction (1-5),Comments
2023-09-01 00:00:00,stud2597,25,Female,Botany,4.5,5.0,Comment 0: The course was great!
2023-09-01 00:02:00,stud1434,24,Male,Geology,3.23,5.0,Comment 1: The course was great!
2023-09-01 00:04:00,stud8611,24,Female,Microbiology,5.0,4.0,Comment 2: The course was great!
2023-09-01 00:04:00,stud4180,24,Male,Mathematics,2.73,1.0,Comment 3: The course was great!
2023-09-01 00:12:00,stud4889,25,Male,Zoology,1.97,1.0,Comment 4: The course was great!
2023-09-01 00:15:00,stud8127,19,Other,Cell Biology and Genetics,5.0,5.0,Comment 5: The course was great!
2023-09-01 00:22:00,stud2136,23,Male,Undeclared,1.64,4.0,Comment 6: The course was great!
2023-09-01 00:23:00,stud2357,24,Female,Undeclared,3.24,5.0,Comment 7: The course was great!
2023-09-01 00:26:00,stud6115,20,Female,Botany,3.18,2.5,Comment 8: The course was great!
2023-09-01 00:32:00,stud2753,21,Other,Geosciences,1.55,2.0,Comment 9: The course was great!
2023-09-01 00:33:00,stud6708,20,Other,Mathematics,1.95,4.0,Comment 10: The course was great!
2023-09-01 00:34:00,stud5692,25,Male,Chemistry,2.47,6.0,Comment 11: The course was great!
2023-09-01 00:38:00,stud2555,20,Other,Marine Sciences,2.81,3.0,Comment 12: The course was great!
2023-09-01 00:42:00,stud2085,24,Other,Physics,3.87,1.0,Comment 13: The course was great!
2023-09-01 00:47:00,stud8908,25,Female,Marine Sciences,1.76,3.0,Comment 14: The course was great!
2023-09-01 00:49:00,stud8956,24,Other,Biochemistry,1.03,1.0,Comment 15: The course was great!
2023-09-01 00:49:00,stud5091,22,Other,Geophysics,2.36,2.0,Comment 16: The course was great!
2023-09-01 00:51:00,stud1774,23,Male,Geosciences,1.1,2.0,Comment 17: The course was great!
2023-09-01 00:55:00,stud1499,21,Other,Computer Science,2.88,6.0,Comment 18: The course was great!
2023-09-01 01:01:00,stud4173,19,Male,Cell Biology and Genetics,5.0,3.0,Comment 19: The course was great!
2023-09-01 01:01:00,stud3548,20,Female,Biochemistry,4.0,2.0,Comment 20: The course was great!
2023-09-01 01:03:00,stud6581,18,Other,Zoology,3.54,1.0,Comment 21: The course was great!
2023-09-01 01:04:00,stud9790,18,Male,Undeclared,2.45,2.0,Comment 22: The course was great!
2023-09-01 01:11:00,stud2700,20,Female,Botany,1.85,4.0,Comment 23: The course was great!
2023-09-01 01:14:00,stud8729,20,Female,Botany,1.85,3.0,Comment 24: The course was great!
2023-09-01 01:14:00,stud3412,23,Male,Undeclared,2.02,2.0,Comment 25: The course was great!
2023-09-01 01:16:00,stud4922,24,Male,Geology,3.96,1.0,Comment 26: The course was great!
2023-09-01 01:27:00,stud1246,18,Female,Cell Biology and Genetics,3.36,5.0,Comment 27: The course was great!
2023-09-01 01:27:00,stud6045,24,Female,Cell Biology and Genetics,3.52,2.0,Comment 28: The course was great!
2023-09-01 01:28:00,stud3688,25,Female,Marine Sciences,1.05,4.0,Comment 29: The course was great!
2023-09-01 01:50:00,stud3625,24,Female,Marine Sciences,2.02,5.0,Comment 30: The course was great!
2023-09-01 01:53:00,stud1237,18,Male,Computer Science,1.93,6.0,Comment 31: The course was great!
2023-09-01 01:54:00,stud2842,22,Other,Microbiology,1.57,4.0,Comment 32: The course was great!
2023-09-01 01:57:00,stud5693,18,Other,Cell Biology and Genetics,3.2,1.0,Comment 33: The course was great!
2023-09-01 02:01:00,stud9255,19,Other,Biochemistry,3.69,1.0,Comment 34: The course was great!
2023-09-01 02:14:00,stud8372,22,Male,Physics,3.64,1.0,Comment 35: The course was great!
2023-09-01 02:16:00,stud3824,19,Other,Cell Biology and Genetics,1.9,4.0,Comment 36: The course was great!
2023-09-01 02:18:00,stud9043,21,Other,Zoology,3.51,1.0,Comment 37: The course was great!
2023-09-01 02:18:00,stud1472,21,Other,Marine Sciences,2.72,2.0,Comment 38: The course was great!
2023-09-01 02:22:00,stud5872,23,Other,Geophysics,3.42,2.0,Comment 39: The course was great!
2023-09-01 02:29:00,stud2321,20,Male,Microbiology,1.49,2.0,Comment 40: The course was great!
2023-09-01 02:35:00,stud9575,22,Male,Zoology,1.26,4.0,Comment 41: The course was great!
2023-09-01 02:41:00,stud9587,19,Male,Geology,3.37,3.0,Comment 42: The course was great!
2023-09-01 02:42:00,stud1712,21,Male,Cell Biology and Genetics,2.43,2.0,Comment 43: The course was great!
2023-09-01 02:45:00,stud6273,21,Other,Chemistry,1.71,1.0,Comment 44: The course was great!
2023-09-01 02:47:00,stud6706,24,Male,Cell Biology and Genetics,2.91,3.0,Comment 45: The course was great!
2023-09-01 02:54:00,stud2015,23,Male,Computer Science,1.55,1.0,Comment 46: The course was great!
2023-09-01 02:59:00,stud9141,22,Female,Geology,2.99,5.0,Comment 47: The course was great!
2023-09-01 03:07:00,stud3029,21,Female,Zoology,3.48,5.0,Comment 48: The course was great!
2023-09-01 03:07:00,stud4336,18,Male,Geophysics,3.99,2.0,Comment 49: The course was great!
2023-09-01 03:08:00,stud2863,22,Male,Microbiology,1.98,2.0,Comment 50: The course was great!
2023-09-01 03:22:00,stud2231,19,Male,Mathematics,2.05,1.0,Comment 51: The course was great!
2023-09-01 03:22:00,stud2013,24,Male,Geophysics,3.67,3.0,Comment 52: The course was great!
2023-09-01 03:30:00,stud5509,18,Male,Biochemistry,2.7,2.0,Comment 53: The course was great!
2023-09-01 03:35:00,stud2399,19,Other,Computer Science,3.48,1.0,Comment 54: The course was great!
2023-09-01 03:37:00,stud2668,21,Female,Computer Science,2.05,4.0,Comment 55: The course was great!
2023-09-01 03:45:00,stud8403,19,Female,Physics,3.48,4.0,Comment 56: The course was great!
2023-09-01 03:49:00,stud5078,23,Other,Biology,1.03,2.0,Comment 57: The course was great!
2023-09-01 03:53:00,stud4179,25,Other,Marine Sciences,2.77,2.5,Comment 58: The course was great!
2023-09-01 04:04:00,stud2352,23,Female,Chemistry,2.68,4.0,Comment 59: The course was great!
2023-09-01 04:05:00,stud9548,18,Male,Chemistry,3.48,2.0,Comment 60: The course was great!
2023-09-01 04:10:00,stud1678,21,Male,Microbiology,3.71,3.0,Comment 61: The course was great!
2023-09-01 04:11:00,stud7567,22,Other,Undeclared,1.01,4.0,Comment 62: The course was great!
2023-09-01 04:14:00,stud7788,20,Male,Zoology,3.26,2.0,Comment 63: The course was great!
2023-09-01 04:29:00,stud1643,21,Other,Mathematics,3.99,6.0,Comment 64: The course was great!
2023-09-01 04:42:00,stud2754,19,Male,Computer Science,5.0,5.0,Comment 65: The course was great!
2023-09-01 04:52:00,stud7816,21,Other,Physics,3.79,7.0,Comment 66: The course was great!
2023-09-01 04:54:00,stud1815,25,Male,Microbiology,3.47,1.0,Comment 67: The course was great!
2023-09-01 05:08:00,stud7545,22,Male,Computer Science,3.76,5.0,Comment 68: The course was great!
2023-09-01 05:09:00,stud5892,20,Female,Botany,1.64,2.0,Comment 69: The course was great!
2023-09-01 05:10:00,stud6562,22,Female,Cell Biology and Genetics,2.48,5.0,Comment 70: The course was great!
2023-09-01 05:15:00,stud7386,20,Male,Biochemistry,2.36,1.0,Comment 71: The course was great!
2023-09-01 05:16:00,stud3540,18,Male,Cell Biology and Genetics,1.6,3.0,Comment 72: The course was great!
2023-09-01 05:18:00,stud3122,22,Female,Mathematics,2.82,2.0,Comment 73: The course was great!
2023-09-01 05:23:00,stud6383,22,Other,Microbiology,2.16,3.0,Comment 74: The course was great!
2023-09-01 05:36:00,stud8110,25,Female,Geophysics,2.9,3.0,Comment 75: The course was great!
2023-09-01 05:43:00,stud2035,24,Female,Geology,1.52,4.0,Comment 76: The course was great!
2023-09-01 06:02:00,stud9332,19,Female,Botany,2.23,2.0,Comment 77: The course was great!
2023-09-01 06:03:00,stud5949,19,Male,Physics,2.36,1.0,Comment 78: The course was great!
2023-09-01 06:12:00,stud8997,19,Other,Geology,1.66,2.0,Comment 79: The course was great!
2023-09-01 06:14:00,stud4163,20,Other,Computer Science,2.23,4.0,Comment 80: The course was great!
2023-09-01 06:28:00,stud7057,20,Male,Chemistry,3.04,3.0,Comment 81: The course was great!
2023-09-01 06:32:00,stud2770,19,Male,Computer Science,1.07,4.0,Comment 82: The course was great!
2023-09-01 06:37:00,stud1384,20,Female,Geophysics,3.26,2.0,Comment 83: The course was great!
2023-09-01 06:44:00,stud3721,20,Other,Marine Sciences,3.83,5.0,Comment 84: The course was great!
2023-09-01 06:48:00,stud6348,19,Other,Computer Science,1.85,2.0,Comment 85: The course was great!
2023-09-01 06:52:00,stud7636,19,Male,Undeclared,1.7,4.0,Comment 86: The course was great!
2023-09-01 07:03:00,stud6714,19,Female,Geology,3.43,5.0,Comment 87: The course was great!
2023-09-01 07:07:00,stud3753,19,Female,Zoology,2.08,5.0,Comment 88: The course was great!
2023-09-01 07:08:00,stud7557,21,Other,Biochemistry,2.63,3.0,Comment 89: The course was great!
2023-09-01 07:12:00,stud8751,23,Other,Physics,2.08,2.0,Comment 90: The course was great!
2023-09-01 07:14:00,stud6532,24,Male,Marine Sciences,3.1,3.0,Comment 91: The course was great!
2023-09-01 07:15:00,stud9635,19,Male,Chemistry,1.68,5.0,Comment 92: The course was great!
2023-09-01 07:16:00,stud4827,23,Female,Mathematics,2.99,2.0,Comment 93: The course was great!
2023-09-01 07:23:00,stud3568,22,Female,Botany,3.3,2.0,Comment 94: The course was great!
2023-09-01 07:28:00,stud1932,18,Male,Geophysics,1.02,2.0,Comment 95: The course was great!
2023-09-01 07:33:00,stud9399,22,Other,Zoology,1.71,1.0,Comment 96: The course was great!
2023-09-01 07:35:00,stud3560,24,Male,Botany,1.55,5.0,Comment 97: The course was great!
2023-09-01 07:42:00,stud9319,20,Other,Chemistry,5.0,3.0,Comment 98: The course was great!
2023-09-01 07:45:00,stud4878,20,Female,Zoology,1.06,4.0,Comment 99: The course was great!
2023-09-01 07:51:00,stud1078,23,Male,Microbiology,3.15,5.0,Comment 100: The course was great!
2023-09-01 07:52:00,stud9898,23,Other,Chemistry,3.29,6.0,Comment 101: The course was great!
2023-09-01 07:53:00,stud8252,23,Other,Geophysics,3.61,2.0,Comment 102: The course was great!
2023-09-01 07:56:00,stud3717,19,Male,Biochemistry,1.63,1.0,Comment 103: The course was great!
2023-09-01 08:14:00,stud1612,20,Other,Geology,1.68,1.0,Comment 104: The course was great!
2023-09-01 08:18:00,stud1264,21,Female,Chemistry,3.78,5.0,Comment 105: The course was great!
2023-09-01 08:19:00,stud2174,20,Other,Physics,1.79,3.0,Comment 106: The course was great!
2023-09-01 08:22:00,stud8442,24,Other,Geophysics,3.93,3.0,Comment 107: The course was great!
2023-09-01 08:33:00,stud6031,24,Female,Marine Sciences,4.5,6.0,Comment 108: The course was great!
2023-09-01 08:37:00,stud6692,25,Other,Marine Sciences,2.63,2.0,Comment 109: The course was great!
2023-09-01 08:38:00,stud6074,20,Other,Undeclared,3.36,2.0,Comment 110: The course was great!
2023-09-01 08:41:00,stud4523,23,Other,Botany,2.58,2.0,Comment 111: The course was great!
2023-09-01 08:44:00,stud7782,25,Other,Geophysics,3.72,3.0,Comment 112: The course was great!
2023-09-01 08:44:00,stud4835,19,Other,Botany,3.54,4.0,Comment 113: The course was great!
2023-09-01 08:46:00,stud1780,22,Other,Physics,2.5,2.0,Comment 114: The course was great!
2023-09-01 08:46:00,stud9982,21,Female,Geophysics,3.06,5.0,Comment 115: The course was great!
2023-09-01 08:55:00,stud8892,19,Female,Chemistry,3.96,1.0,Comment 116: The course was great!
2023-09-01 08:55:00,stud1710,22,Male,Geophysics,1.45,5.0,Comment 117: The course was great!
2023-09-01 08:58:00,stud5159,18,Other,Geology,4.5,2.0,Comment 118: The course was great!
2023-09-01 09:00:00,stud1431,24,Female,Geophysics,3.23,4.0,Comment 119: The course was great!
2023-09-01 09:01:00,stud9808,25,Other,Computer Science,1.18,5.0,Comment 120: The course was great!
2023-09-01 09:07:00,stud9979,24,Female,Cell Biology and Genetics,1.29,2.0,Comment 121: The course was great!
2023-09-01 09:14:00,stud1250,22,Other,Geophysics,1.92,4.0,Comment 122: The course was great!
2023-09-01 09:21:00,stud8314,18,Male,Zoology,2.34,7.0,Comment 123: The course was great!
2023-09-01 09:24:00,stud5618,23,Other,Biochemistry,3.62,2.0,Comment 124: The course was great!
2023-09-01 09:42:00,stud6025,19,Female,Computer Science,2.38,2.0,Comment 125: The course was great!
